Gene,Mouse1_Zadj,Mouse2_Zadj,Mouse3_Zadj,Mouse4_Zadj,Mouse5_Zadj
CNAG_04160,1.122007723,0.129015656,1.050129784,0.799717514,0.105773212
CNAG_04165,-0.799427441,1.500608229,0.534746856,-5.908016471,-1.480117452
CNAG_04173,-1.291556463,1.374570813,0.300326873,0.346747941,-1.200989879
CNAG_04183,0.388013473,-0.39993087,-1.689750571,-1.04663813,0.347642912
CNAG_04188,0.188133582,0.745905476,-0.901090241,-0.260706152,0.291920376
CNAG_04191,-2.972476198,-4.416800743,-5.099732877,-2.706605279,-2.848849677
CNAG_04195,0.786898789,0.867322175,-0.200369001,0.253681243,-0.116632271
CNAG_04198,-2.028214215,-3.071600958,-2.882762108,-0.548689115,-3.024432402
CNAG_04199,-0.838680027,1.055668653,-0.488128853,-0.495377508,-0.660058111
CNAG_04203,-2.343351118,-2.444708318,-2.295501392,-2.145697591,-1.863787224
CNAG_04205,-0.195187019,0.27569734,0.358106237,-0.661982195,-0.34153838
CNAG_04206,0.843726204,0.664971758,0.527905258,-0.124626578,0.406524385
CNAG_04207,-0.869017569,-1.317040194,0.012837706,-0.612529916,0.655955242
CNAG_04212,-2.902276113,-6.412401921,-4.698613634,-2.21589631,-4.980073336
CNAG_04219,0.818554016,0.330758341,1.677984294,-0.372328561,-0.199355728
CNAG_04225,1.28511151,0.077469343,0.855483575,0.414528426,-0.25750188
CNAG_04232,-2.318036084,-6.934210049,-3.100672486,-4.485875909,-3.843284084
CNAG_04234,0.347724832,0.068093365,0.339870076,1.202123854,0.190461775
CNAG_04239,0.715562828,1.133227504,0.607996805,-0.670867214,0.581898915
CNAG_04240,-0.046068793,0.436530453,0.72704388,1.108620538,0.205709604
CNAG_04243,-1.502402909,-4.12583407,-4.156852709,-3.261294001,-3.477163966
CNAG_04244,0.182787563,0.650710812,-0.183620893,0.291241111,0.011203945
CNAG_04256,0.61454641,-0.429809463,-0.96653895,0.695894774,0.200956807
CNAG_04262,0.604030345,0.631248391,0.469004375,0.441161842,0.991571274
CNAG_04266,-3.503284537,-5.201250335,-5.337929397,-4.188338789,-3.997491882
CNAG_04273,-0.43893261,-1.482023966,-0.093169276,-1.784634179,0.439973885
CNAG_04274,0.900196637,0.531117662,-0.069667876,0.199255094,-0.50835215
CNAG_04275,-1.356090143,-1.848251177,-2.008842752,-1.897241851,-3.518164257
CNAG_04276,-0.855914363,0.61927346,0.173563704,0.211973856,0.906449998
CNAG_04282,-1.275509554,-1.113343016,0.282164294,-0.598576315,0.13279619
CNAG_04293,-4.923157176,-7.666854986,-9.333837078,-4.881392798,-5.340575303
CNAG_04294,0.708809911,0.177125099,1.070325239,0.062384642,0.437909095
CNAG_04299,0.175223136,1.161486777,-0.575229477,-0.240019846,0.726128839
CNAG_04301,1.257678304,1.148468495,0.30243187,0.760436765,0.321919007
CNAG_04302,-0.029297502,-2.851381417,-1.79255101,-3.38700919,-2.185940631
CNAG_04315,0.247309346,-0.105841509,0.785520662,-1.026952212,0.917944973
CNAG_04317,0.243429506,-0.597787512,-0.08779187,0.85094469,0.500192611
CNAG_04320,1.310576346,0.519093151,1.963162841,2.281875871,0.762220728
CNAG_04326,-0.670621683,-0.196097058,-0.652153211,1.360908048,0.049486145
CNAG_04330,0.697170983,0.427486494,0.866293154,0.794853339,-0.145918112
CNAG_04333,0.151142188,-0.336918412,0.230353366,0.915242225,1.373398267
CNAG_04338,0.832147847,0.366670761,1.357117562,1.165421672,-0.018041343
CNAG_04340,0.009133957,-0.338011912,0.520347894,-0.09434779,0.35673209
CNAG_04341,-2.67059409,-4.269041183,-4.068029973,-4.045878608,-3.426968566
CNAG_04342,0.238038483,0.802931809,0.805555404,-0.346175742,-0.297025842
CNAG_04351,0.231694183,-0.278226203,0.43401578,-0.04003247,-1.040041739
CNAG_04353,0.291355327,-0.911344436,-0.13169774,-0.157542172,0.151952464
CNAG_04354,-1.927742461,-0.57822807,-3.134910078,-1.761385899,-2.017183334
CNAG_04355,0.638130714,-0.273826072,0.755926378,1.180446252,0.830695047
CNAG_04361,-1.615186701,-3.240430434,-3.375044764,-2.380988665,-1.391327111
CNAG_04363,0.51501141,0.568404626,0.736558404,0.26451426,0.061866062
CNAG_04367,0.125809592,0.065551756,-0.392670372,-0.429411908,-0.254075206
CNAG_04369,0.019821404,0.374827285,0.831410477,-0.609983628,-0.192816153
CNAG_04438,0.316822688,-0.291324997,0.922572751,-1.535766277,-0.42478203
CNAG_04458,-0.971324183,-0.675237241,-0.336762105,0.552545355,-0.095705009
CNAG_04459,-0.305676451,0.668120322,-0.299263821,1.221960519,0.612348383
CNAG_04462,2.033944741,4.835936841,3.874168606,3.108799291,3.541685908
CNAG_04473,0.995538884,-0.422326176,0.176982252,0.53854119,0.854936984
CNAG_04478,-0.51465373,-1.286389456,-1.477813167,0.468151981,-0.066017427
CNAG_04488,-4.133514196,-6.504081939,-3.665309748,-3.42729291,-3.208617367
CNAG_04495,1.146558089,0.276830482,0.176447821,0.461531129,-0.39975194
CNAG_04503,0.06709562,0.161212579,0.280507854,-1.17106003,0.108902851
CNAG_04508,-2.020819581,-1.925006858,-1.395134891,-0.884440392,-2.496829318
CNAG_04509,0.305691057,0.316894996,0.003842564,-0.030797477,0.943755853
CNAG_04512,-5.015081042,-7.816706573,-6.356230158,-5.898776715,-5.311285134
CNAG_04515,0.834127029,1.166588069,-0.600849498,0.892526658,0.440412212
CNAG_04516,0.562948667,0.669065352,0.668658139,0.053513371,-0.200091913
CNAG_04519,-0.198592523,-0.067865413,0.456980308,-0.569611271,0.094177867
CNAG_04522,-0.575393194,-0.257407931,0.278504957,-0.183566726,0.973213392
CNAG_04523,0.780371463,-0.252017656,0.651324637,-0.536187433,2.125336238
CNAG_04526,0.928880765,0.901865631,-0.311292757,0.738509216,1.151851465
CNAG_04527,0.121195078,1.048469325,-0.526527431,-0.129149861,1.104460886
CNAG_04530,0.433458332,0.593836108,0.223082507,0.076414693,1.335810664
CNAG_04531,-4.413068629,-6.935810282,-7.108455708,-5.316463811,-6.323390518
CNAG_04538,-0.399476755,-0.582702965,-2.972191218,-0.407444773,-1.12738167
CNAG_04544,0.07780112,0.111185529,-0.6022362,-0.176513461,-0.04351373
CNAG_04545,-4.595225629,-7.116379224,-4.073268735,-5.675214137,-6.092922012
CNAG_04546,0.211900045,-0.365819312,-1.29643668,0.09742861,-1.635389654
CNAG_04553,0.600902087,0.259301013,-0.295641257,0.867949659,0.47534211
CNAG_04558,1.016051908,-0.443686099,-1.362221207,-0.425721679,0.064312015
CNAG_04567,0.455170054,0.284578474,0.964990783,0.886021373,0.966984587
CNAG_04589,1.102605178,0.739384886,1.235772039,0.030888361,0.372211158
CNAG_04592,0.550697157,1.473571716,1.431141541,0.358696408,0.818327856
CNAG_04595,1.345349261,-0.182746275,-0.223233782,0.00835272,0.558429591
CNAG_04596,0.356540992,-0.632385414,1.313905489,0.518642093,1.250044724
CNAG_04606,1.21050538,0.147195189,0.086010966,0.931660732,-0.094517864
CNAG_04607,-2.053198326,-3.478879376,-2.391569866,-1.398675229,-2.699521379
CNAG_04610,0.911689612,0.989694417,-0.803284743,0.221724994,-0.061812956
CNAG_04636,0.717393836,-0.616211284,0.824090492,0.1761773,-0.282183486
CNAG_04647,-3.704462263,-5.790061268,-5.848392782,-4.604631533,-4.93282354
CNAG_04651,0.091133748,0.694267814,1.319638711,1.225471811,0.39227498
CNAG_04652,0.292266426,0.239094981,0.396417939,-0.143344916,0.298056672
CNAG_04654,1.55092395,0.449871379,0.992996239,1.563362043,0.794163978
CNAG_04662,1.161703001,-0.104710355,-2.419304505,-1.085545704,-3.640356682
CNAG_04670,0.269478522,-0.438056629,-0.408022446,0.994720269,1.667309743
CNAG_04671,-2.799371829,-4.180608458,-6.291759912,-2.70929563,-5.10529805
CNAG_04674,-3.985750637,-5.420442379,-6.428850716,-4.365267096,-7.372951325
CNAG_04679,0.22972603,-0.248194354,0.621496664,-0.811166414,0.56117945
CNAG_04707,0.78375999,0.929707023,0.552431438,-0.003938336,0.005352311
CNAG_04710,-7.041765295,-8.463452955,-9.385468705,-6.815084502,-6.358152733
CNAG_04711,0.105519985,-0.447774023,0.654020929,-1.444472496,0.294015409
CNAG_04712,-0.282459875,-1.70629984,0.296801961,0.629294415,0.650381781
CNAG_04713,-0.071421185,-0.281680352,-0.103647993,-0.187944138,0.831878618
CNAG_04714,0.327738267,-0.47213785,-1.169919152,-0.426027407,0.341799298
CNAG_04725,0.038924961,0.760767284,0.246750666,0.419078477,1.100834703
CNAG_04727,-0.825632872,-1.292726462,-1.489002613,-1.826408136,-2.884377977
CNAG_04731,1.06680441,0.512881049,1.073915181,0.229309645,-0.897398676
CNAG_04732,-0.142048743,-1.263296173,0.442525045,0.531335018,0.650932481
CNAG_04734,0.86012855,-0.785181182,-0.930598062,0.875335834,0.649546846
CNAG_04738,-0.261264963,-1.05939629,0.398420202,2.451456233,0.885088449
CNAG_04744,0.321570265,-0.072836238,-0.164567677,0.132012588,-0.415806607
CNAG_04746,1.229393768,1.642931877,1.128421614,1.023103248,-0.079438173
CNAG_04747,0.01686191,0.840625673,0.02618692,-1.791947891,0.497792542
CNAG_04749,0.719258143,0.20836475,1.758177137,0.73190306,0.361694728
CNAG_04750,-1.038450228,0.778054399,0.796182893,-1.408003263,1.006956431
CNAG_04766,0.051342001,-0.081200108,0.992071503,0.333170014,0.204541461
CNAG_04769,-0.05829245,-0.746333184,0.231119961,-0.217235846,-0.109471929
CNAG_04775,0.673571956,0.530105685,-0.436997546,0.468422456,0.742692183
CNAG_04783,0.061380329,-0.453272657,0.649307975,-0.385524229,1.054607144
CNAG_04784,0.163646681,-0.312177933,0.261552412,-0.426876655,1.059201285
CNAG_04785,0.786876007,0.542241782,0.626970532,0.623573391,-0.226169757
CNAG_04787,-0.38251734,-1.10978527,0.794302481,-0.669150177,-0.550229578
CNAG_04789,-0.1289958,0.453264775,-1.241354825,0.368586663,-0.10877703
CNAG_04806,-2.037461979,-1.506447766,-2.290649499,0.410148759,-2.515573627
CNAG_04809,-3.688240487,-7.380475803,-5.951295811,-5.888388664,-6.323920949
CNAG_04810,-0.277516005,-0.491414923,-1.550888458,-0.304276885,-1.053897168
CNAG_04818,0.932437564,0.5471418,0.211652755,-1.196731353,-0.427491493
CNAG_04819,-0.143995645,0.690570545,-0.104361309,-0.598831181,0.160863254
CNAG_04831,-0.618231342,0.235312969,-0.618285245,-0.61091518,0.804886165
CNAG_04834,-0.007991948,0.916848391,0.757670227,1.427851131,-1.210813998
CNAG_04846,0.768444825,0.478169128,-0.841619088,0.211674242,0.514203882
CNAG_04854,0.94763948,0.434111897,-0.351425765,-0.656260014,0.155213582
CNAG_04855,0.46567156,0.328631197,0.36216732,-0.352536327,0.144684551
CNAG_04866,1.389093835,0.791478569,1.549015615,1.405239835,1.548716954
CNAG_04870,0.124300272,0.720795401,0.019940211,0.794981662,0.530041505
CNAG_04873,-1.062951018,0.548207891,-0.509596213,-0.655915576,-0.471537045
CNAG_04890,-1.145010205,0.233729198,0.212666589,0.639603647,0.68834859
CNAG_04893,-0.456081431,0.525004732,0.92545606,-0.336848584,0.494491816
CNAG_04894,0.605168857,0.610159696,0.069466862,0.357017279,0.760958575
CNAG_04897,0.692310843,0.469655336,0.007515474,0.54223356,0.762154835
CNAG_04898,0.27175482,0.160880084,-0.008968206,0.405446884,0.600101566
CNAG_04901,1.221955664,-0.583038963,1.19695907,-0.010360594,0.126905168
CNAG_04902,-0.728417185,-1.549917782,-1.222962157,0.144840355,-1.298463088
CNAG_04905,0.256121887,-0.436198412,0.402289976,-0.177498639,0.385871509
CNAG_04912,0.275190403,-0.126217048,-0.127771983,-0.055700434,0.558378595
